label,packet_count,avg_packet_size,unique_src_ips,unique_dst_ips,unique_dst_ports,tcp_count,udp_count,reasons
ALERT,323,364.23,91,11,14,52,271,Possible DoS: high packet volume; Possible Port Scan: many destination ports targeted
ALERT,144,496.94,50,8,10,33,111,Possible DoS: high packet volume; Possible Port Scan: many destination ports targeted
ALERT,200,377.5,62,10,9,49,151,Possible DoS: high packet volume; Possible Port Scan: many destination ports targeted
ALERT,254,487.0,87,9,11,41,213,Possible DoS: high packet volume; Possible Port Scan: many destination ports targeted
ALERT,200,456.49,74,10,12,45,155,Possible DoS: high packet volume; Possible Port Scan: many destination ports targeted
ALERT,435,418.35,90,9,11,62,373,Possible DoS: high packet volume; Possible Port Scan: many destination ports targeted
ALERT,197,449.59,77,9,8,31,166,Possible DoS: high packet volume
ALERT,402,458.9,75,12,12,70,332,Possible DoS: high packet volume; Possible Port Scan: many destination ports targeted
ALERT,215,458.64,70,12,12,26,189,Possible DoS: high packet volume; Possible Port Scan: many destination ports targeted
ALERT,200,417.48,46,12,11,61,139,Possible DoS: high packet volume; Possible Port Scan: many destination ports targeted
ALERT,126,501.83,63,8,11,38,88,Possible DoS: high packet volume; Possible Port Scan: many destination ports targeted
ALERT,209,350.79,80,7,7,28,181,Possible DoS: high packet volume
ALERT,478,513.67,105,14,19,91,387,Possible DoS: high packet volume; Possible Port Scan: many destination ports targeted
ALERT,336,358.73,113,7,10,45,291,Possible DoS: high packet volume; Possible Port Scan: many destination ports targeted
ALERT,272,407.66,85,7,8,25,247,Possible DoS: high packet volume
ALERT,328,312.87,55,7,22,35,293,Possible DoS: high packet volume; Possible Port Scan: many destination ports targeted
ALERT,352,338.82,70,10,18,88,264,Possible DoS: high packet volume; Possible Port Scan: many destination ports targeted
ALERT,628,351.81,105,8,7,35,593,Possible DoS: high packet volume
ALERT,335,337.6,88,8,12,56,279,Possible DoS: high packet volume; Possible Port Scan: many destination ports targeted
ALERT,229,452.02,64,10,9,33,196,Possible DoS: high packet volume; Possible Port Scan: many destination ports targeted
ALERT,163,338.19,64,10,12,42,121,Possible DoS: high packet volume; Possible Port Scan: many destination ports targeted
ALERT,197,421.15,80,11,8,14,183,Possible DoS: high packet volume
ALERT,183,440.79,59,7,10,42,141,Possible DoS: high packet volume; Possible Port Scan: many destination ports targeted
ALERT,449,133.62,48,5,8,40,409,Possible DoS: high packet volume
ALERT,490,249.38,106,12,11,62,428,Possible DoS: high packet volume; Possible Port Scan: many destination ports targeted
ALERT,400,387.8,89,12,12,47,353,Possible DoS: high packet volume; Possible Port Scan: many destination ports targeted
ALERT,279,331.38,98,5,7,28,251,Possible DoS: high packet volume
ALERT,458,318.47,98,10,11,60,398,Possible DoS: high packet volume; Possible Port Scan: many destination ports targeted
ALERT,268,266.62,109,6,9,35,233,Possible DoS: high packet volume; Possible Port Scan: many destination ports targeted
ALERT,427,614.15,81,10,13,32,395,Possible DoS: high packet volume; Possible Port Scan: many destination ports targeted
ALERT,218,362.7,80,10,11,54,164,Possible DoS: high packet volume; Possible Port Scan: many destination ports targeted
ALERT,292,416.58,73,10,14,55,237,Possible DoS: high packet volume; Possible Port Scan: many destination ports targeted
ALERT,549,483.42,104,11,9,25,524,Possible DoS: high packet volume; Possible Port Scan: many destination ports targeted
ALERT,312,278.08,104,8,8,35,277,Possible DoS: high packet volume
ALERT,408,407.82,111,14,10,38,365,Possible DoS: high packet volume; Possible Port Scan: many destination ports targeted
ALERT,454,295.8,116,12,15,53,392,Possible DoS: high packet volume; Possible Port Scan: many destination ports targeted
ALERT,228,356.82,82,9,12,49,177,Possible DoS: high packet volume; Possible Port Scan: many destination ports targeted
ALERT,366,438.66,88,10,9,30,334,Possible DoS: high packet volume; Possible Port Scan: many destination ports targeted
ALERT,374,335.41,94,10,10,39,335,Possible DoS: high packet volume; Possible Port Scan: many destination ports targeted
ALERT,313,355.63,94,10,10,28,283,Possible DoS: high packet volume; Possible Port Scan: many destination ports targeted
ALERT,376,369.86,87,9,10,26,350,Possible DoS: high packet volume; Possible Port Scan: many destination ports targeted
ALERT,229,362.88,54,9,13,98,131,Possible DoS: high packet volume; Possible Port Scan: many destination ports targeted
ALERT,179,498.69,57,13,10,41,138,Possible DoS: high packet volume; Possible Port Scan: many destination ports targeted
ALERT,182,388.42,60,8,13,56,126,Possible DoS: high packet volume; Possible Port Scan: many destination ports targeted
ALERT,464,370.83,99,9,11,30,434,Possible DoS: high packet volume; Possible Port Scan: many destination ports targeted
ALERT,311,473.8,103,9,8,32,279,Possible DoS: high packet volume
ALERT,192,331.54,67,6,8,30,162,Possible DoS: high packet volume
ALERT,478,406.6,90,11,12,66,412,Possible DoS: high packet volume; Possible Port Scan: many destination ports targeted
ALERT,210,279.69,65,11,13,56,154,Possible DoS: high packet volume; Possible Port Scan: many destination ports targeted
ALERT,353,386.35,88,11,13,51,302,Possible DoS: high packet volume; Possible Port Scan: many destination ports targeted
ALERT,467,288.58,77,7,8,21,446,Possible DoS: high packet volume
ALERT,396,251.34,79,10,11,46,350,Possible DoS: high packet volume; Possible Port Scan: many destination ports targeted
ALERT,345,319.39,79,8,7,14,331,Possible DoS: high packet volume
